feature,modeling_type,description,category,feature_group
income_verified_primary_job,numerical,Подтвержденный основной доход,Соцдем,Депозиты/Зарплаты/Анкеты
industry_nm,categorical,Сфера деятельности,Соцдем,Депозиты/Зарплаты/Анкеты
marital_status_nm,categorical,Семейное положение,Соцдем,Депозиты/Зарплаты/Анкеты
max_amt_dep_5y,numerical,"Максимальная сумма (при открытии, в рублях) срочных депозитов (т.е., имеющих срок не ""до востребования""), открытых за последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_amt_dep_6m,numerical,"Максимальная сумма (при открытии, в рублях) срочных депозитов (т.е. имеющих срок не ""до востребования""), открытых за последние 6 месяцев",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_amt_dep_act,numerical,"Максимальная сумма (при открытии, в рублях) активных срочных депозитов, имеющих текущий остаток более 1000 руб.",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_amt_dep_closed_5y,numerical,"Максимальная сумма (при открытии, в рублях) срочных депозитов, открытых за последние 5 лет , и закрытых на текущий момент",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_amt_foreign_cur_5y,numerical,"Максимальная сумма (при открытии, в рублях) срочных депозитов в иностранной валюте за последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_12month_amt,numerical,"Максимальный остаток по всем счетам клиента за последние 12 мес , в рублях   (по всем счетам)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_12month_amt_term,numerical,"Максимальный остаток по срочным депозитам клиента за последние 12 мес , в рублях (только срочные депозиты)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_12month_amt_term_savings,numerical,"Максимальный остаток по срочным депозитам  и накопительным счетам  клиента за последние 12 мес , в рублях (срочные+накопительные)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_1month_amt,numerical,"Максимальный остаток по всем счетам клиента за последний месяц , в рублях  (по всем счетам)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_1month_amt_term,numerical,"Максимальный остаток по срочным депозитам клиента за последний месяц , в рублях  (только срочные депозиты)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_1month_amt_term_savings,numerical,"Максимальный остаток по срочным депозитам  и накопительным счетам клиента за последний месяц , в рублях  (срочные+накопительные)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_3month_amt,numerical,"Максимальный остаток по всем счетам клиента за последние 3 мес , в рублях  (по всем счетам)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_3month_amt_term,numerical,"Максимальный остаток по срочным депозитам клиента за последние 3 мес , в рублях  (только срочные депозиты)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_3month_amt_term_savings,numerical,"Максимальный остаток по срочным депозитам  и накопительным счетам клиента за последние 3 мес , в рублях  (только срочные депозиты)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_6month_amt,numerical,"Максимальный остаток по всем счетам клиента за последние 6 мес , в рублях  (по всем счетам)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_6month_amt_term,numerical,"Максимальный остаток по срочным депозитам клиента за последние 6 мес , в рублях (только срочные депозиты)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_dep_avg_balance_6month_amt_term_savings,numerical,"Максимальный остаток по срочным депозитам  и накопительным счетам  клиента за последние 6 мес , в рублях (срочные+накопительные)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_max_dep_balance_amt,numerical,Максимальный остаток по всем счетам клиента за последний год (сокращен по причине высокой нагрузки),Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_max_dep_balance_amt_term,numerical,Максимальный остаток по срочным депозитам клиента за последние 3 года,Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_max_dep_balance_amt_term_savings,numerical,Максимальный остаток по срочным депозитам и накопительным счетам клиента за последние 3 года,Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_max_dep_income_amt,numerical,Максимальное пополнение за всю историю договора в рублях (максимальное по всем счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_max_dep_income_amt_term_savings,numerical,Максимальное пополнение за всю историю договора в рублях (максимальное по срочным депозитам и накопительным счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_term,numerical,Максимальный фактический срок договора в месяцах среди срочных депозитов,Депозиты и счета,Депозиты/Зарплаты/Анкеты
max_term_50_5y,numerical,"Максимальный фактический срок договора в месяцах (на сумму не менее 50 000 руб.) среди срочных депозитов, открытых за последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
min_amt_term_g1y,numerical,"Минимальная сумма срочного депозита, открытого за последние 5 лет, и имеющего фактический срок больше года",Депозиты и счета,Депозиты/Зарплаты/Анкеты
min_max_dep_balance_amt,numerical,Минимальный остаток по всем счетам клиента за последний год (сокращен по причине высокой нагрузки),Депозиты и счета,Депозиты/Зарплаты/Анкеты
min_max_dep_balance_amt_term,numerical,Минимальный остаток по срочным депозитам клиента за последние 3 года,Депозиты и счета,Депозиты/Зарплаты/Анкеты
min_max_dep_balance_amt_term_savings,numerical,Минимальный остаток по срочным депозитам и накопительным счетам клиента за последние 3 года,Депозиты и счета,Депозиты/Зарплаты/Анкеты
salary_flg,categorical,Флаг зарплатного клиента,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_acc_now,numerical,"Текущая общая сумма (в рублях) бессрочных депозитов (""до востребования"")",Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_amount_zp_12m,numerical,Сумма зарплатных начислений за последние 12 месяцев,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_amount_zp_1m,numerical,Сумма зарплатных начислений за последний месяц,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_amount_zp_24m,numerical,Сумма зарплатных начислений за последние 24 месяца,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_amount_zp_3m,numerical,Сумма зарплатных начислений за последние 3 месяца,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_amount_zp_6m,numerical,Сумма зарплатных начислений за последние 6 месяцев,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_cnt_zp_12m,numerical,Количество зарплатных начислений за последние 12 месяцев,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_cnt_zp_1m,numerical,Количество зарплатных начислений за последний месяц,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_cnt_zp_24m,numerical,Количество зарплатных начислений за последние 24 месяца,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_cnt_zp_3m,numerical,Количество зарплатных начислений за последние 3 месяца,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_cnt_zp_6m,numerical,Количество зарплатных начислений за последние 6 месяцев,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
sum_dep_expense_12month_amt,numerical,"Суммарные расходные операции в рублях , 12 мес (суммарно по всем счетам)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_expense_12month_amt_term_savings,numerical,"Суммарные расходные операции в рублях , 12 мес (суммарно по срочным депозитам и накопительным счетам)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_expense_1month_amt,numerical,Суммарные расходные операции за последний месяц в рублях (суммарно по всем счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_expense_1month_amt_term_savings,numerical,Суммарные расходные операции за последний месяц в рублях (суммарно по срочным депозитам и накопительным счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_expense_3month_amt,numerical,Суммарные расходные операции за последние 3 месяца (суммарно по всем счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_expense_3month_amt_term_savings,numerical,Суммарные расходные операции за последние 3 месяца (суммарно по срочным депозитам и накопительным счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_expense_6month_amt,numerical,"Суммарные расходные операции в рублях , 6 мес (суммарно по всем счетам)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_expense_6month_amt_term_savings,numerical,"Суммарные расходные операции в рублях , 6 мес (суммарно по срочным депозитам и накопительным счетам)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_income_12month_amt,numerical,Суммарные поступления в рублях за 12 месяцев (суммарно по всем счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_income_12month_amt_term_savings,numerical,Суммарные поступления в рублях за 12 месяцев (суммарно по срочным депозитам и накопительным счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_income_1month_amt,numerical,Суммарные поступления в рублях за предыдущий месяц (суммарно по всем счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_income_1month_amt_term_savings,numerical,Суммарные поступления в рублях за предыдущий месяц (суммарно по срочным депозитам и накопительным счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_income_3month_amt,numerical,Суммарные поступления в рублях за 12 месяцев (суммарно по всем счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_income_3month_amt_term_savings,numerical,Суммарные поступления в рублях за 12 месяцев (суммарно по срочным депозитам и накопительным счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_income_6month_amt,numerical,Суммарные поступления в рублях за 12 месяцев (суммарно по всем счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_income_6month_amt_term_savings,numerical,Суммарные поступления в рублях за 12 месяцев (суммарно по срочным депозитам и накопительным счетам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
sum_dep_now,numerical,Текущая общая сумма (в рублях) срочных депозитов,Депозиты и счета,Депозиты/Зарплаты/Анкеты
total_work_experience_nm,categorical,Общий стаж работы,Соцдем,Депозиты/Зарплаты/Анкеты
used_car_flg,categorical,Флаг БУ авто,Соцдем,Депозиты/Зарплаты/Анкеты
vehicle_counrty_type_nm,categorical,Иномарка/Отечественная,Соцдем,Депозиты/Зарплаты/Анкеты
zp_first_month,numerical,Количество месяцев с первого зп начисления,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
zp_first_month_12m,numerical,Количество месяцев с первого зп начисления за последние 12 месяцев,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
zp_first_month_24m,numerical,Количество месяцев с первого зп начисления за последние 24 месяца,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
zp_first_month_6m,numerical,Количество месяцев с первого зп начисления за последние 6 месяцев,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
zp_last_month,numerical,Количество месяцев с последнего зп начисления,Зарплатные начисления,Депозиты/Зарплаты/Анкеты
zp_all_mean_1month,numerical,Отношение средней заработной платы клиента к средней зарплате всех активных клиентов банка за 1 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.,"Переводы, доходы и расходы",Зарплата
zp_region_mean_1month,numerical,"Отношение средней заработной платы клиента к средней зарплате активных клиентов банка, проживающих в регионе проживания клиента за 1 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.","Переводы, доходы и расходы",Зарплата
zp_payments_1month,numerical,Отношение суммарных поступлений заработной платы клиенту ко всем расходным транзакциям клиента за 1 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_inputs_all_1month,numerical,Отношение суммарных поступлений заработной платы клиенту к сумме всех поступлений клиенту за 1 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_flag_2month,categorical,"Факт того, что клиенту начислялась хотя бы одна заработная плата в теченеие 2 месяцев до отчетной даты","Переводы, доходы и расходы",Зарплата
zp_mean_2month,numerical,Средняя заработная плата клиента за 2 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_all_mean_2month,numerical,Отношение средней заработной платы клиента к средней зарплате всех активных клиентов банка за 2 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.,"Переводы, доходы и расходы",Зарплата
zp_region_mean_2month,numerical,"Отношение средней заработной платы клиента к средней зарплате активных клиентов банка, проживающих в регионе проживания клиента за 2 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.","Переводы, доходы и расходы",Зарплата
zp_payments_2month,numerical,Отношение суммарных поступлений заработной платы клиенту ко всем расходным транзакциям клиента за 2 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_inputs_all_2month,numerical,Отношение суммарных поступлений заработной платы клиенту к сумме всех поступлений клиенту за 2 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_flag_3month,categorical,"Факт того, что клиенту начислялась хотя бы одна заработная плата в теченеие 3 месяцев до отчетной даты","Переводы, доходы и расходы",Зарплата
zp_mean_3month,numerical,Средняя заработная плата клиента за 3 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_all_mean_3month,numerical,Отношение средней заработной платы клиента к средней зарплате всех активных клиентов банка за 3 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.,"Переводы, доходы и расходы",Зарплата
zp_region_mean_3month,numerical,"Отношение средней заработной платы клиента к средней зарплате активных клиентов банка, проживающих в регионе проживания клиента за 3 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.","Переводы, доходы и расходы",Зарплата
zp_payments_3month,numerical,Отношение суммарных поступлений заработной платы клиенту ко всем расходным транзакциям клиента за 3 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_inputs_all_3month,numerical,Отношение суммарных поступлений заработной платы клиенту к сумме всех поступлений клиенту за 3 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_flag_6month,categorical,"Факт того, что клиенту начислялась хотя бы одна заработная плата в теченеие 6 месяцев до отчетной даты","Переводы, доходы и расходы",Зарплата
zp_mean_6month,numerical,Средняя заработная плата клиента за 6 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_all_mean_6month,numerical,Отношение средней заработной платы клиента к средней зарплате всех активных клиентов банка за 6 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.,"Переводы, доходы и расходы",Зарплата
zp_region_mean_6month,numerical,"Отношение средней заработной платы клиента к средней зарплате активных клиентов банка, проживающих в регионе проживания клиента за 6 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.","Переводы, доходы и расходы",Зарплата
zp_payments_6month,numerical,Отношение суммарных поступлений заработной платы клиенту ко всем расходным транзакциям клиента за 6 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_inputs_all_6month,numerical,Отношение суммарных поступлений заработной платы клиенту к сумме всех поступлений клиенту за 6 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_flag_9month,categorical,"Факт того, что клиенту начислялась хотя бы одна заработная плата в теченеие 9 месяцев до отчетной даты","Переводы, доходы и расходы",Зарплата
zp_mean_9month,numerical,Средняя заработная плата клиента за 9 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_all_mean_9month,numerical,Отношение средней заработной платы клиента к средней зарплате всех активных клиентов банка за 9 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.,"Переводы, доходы и расходы",Зарплата
zp_region_mean_9month,numerical,"Отношение средней заработной платы клиента к средней зарплате активных клиентов банка, проживающих в регионе проживания клиента за 9 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.","Переводы, доходы и расходы",Зарплата
zp_payments_9month,numerical,Отношение суммарных поступлений заработной платы клиенту ко всем расходным транзакциям клиента за 9 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_inputs_all_9month,numerical,Отношение суммарных поступлений заработной платы клиенту к сумме всех поступлений клиенту за 9 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_flag_12month,categorical,"Факт того, что клиенту начислялась хотя бы одна заработная плата в теченеие 12 месяцев до отчетной даты","Переводы, доходы и расходы",Зарплата
zp_mean_12month,numerical,Средняя заработная плата клиента за 12 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_all_mean_12month,numerical,Отношение средней заработной платы клиента к средней зарплате всех активных клиентов банка за 12 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.,"Переводы, доходы и расходы",Зарплата
zp_region_mean_12month,numerical,"Отношение средней заработной платы клиента к средней зарплате активных клиентов банка, проживающих в регионе проживания клиента за 12 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.","Переводы, доходы и расходы",Зарплата
zp_payments_12month,numerical,Отношение суммарных поступлений заработной платы клиенту ко всем расходным транзакциям клиента за 12 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_inputs_all_12month,numerical,Отношение суммарных поступлений заработной платы клиенту к сумме всех поступлений клиенту за 12 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_flag_18month,categorical,"Факт того, что клиенту начислялась хотя бы одна заработная плата в теченеие 18 месяцев до отчетной даты","Переводы, доходы и расходы",Зарплата
zp_mean_18month,numerical,Средняя заработная плата клиента за 18 месяцев до отчетной даты,"Переводы, доходы и расходы",Зарплата
zp_all_mean_18month,numerical,Отношение средней заработной платы клиента к средней зарплате всех активных клиентов банка за 18 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.,"Переводы, доходы и расходы",Зарплата
zp_region_mean_18month,numerical,"Отношение средней заработной платы клиента к средней зарплате активных клиентов банка, проживающих в регионе проживания клиента за 18 месяцев до отчетной даты. Флаг активности считаем на отчетную дату.","Переводы, доходы и расходы",Зарплата
